name
Abomasite
Absolite
Absorb Bulb
Adamant Orb
Adrenaline Orb
Aerodactylite
Aggronite
Aguav Berry
Air Balloon
Alakazite
Aloraichium Z
Altarianite
Ampharosite
Apicot Berry
Armor Fossil
Aspear Berry
Assault Vest
Audinite
Babiri Berry
Banettite
Beast Ball
Beedrillite
Belue Berry
Berry Juice
Berry Sweet
Big Root
Binding Band
Black Belt
Black Sludge
Black Glasses
Blastoisinite
Blazikenite
Blue Orb
Bluk Berry
Blunder Policy
Bottle Cap
Bright Powder
Bug Gem
Bug Memory
Buginium Z
Burn Drive
Cameruptite
Cell Battery
Charcoal
Charizardite X
Charizardite Y
Charti Berry
Cheri Berry
Cherish Ball
Chesto Berry
Chilan Berry
Chill Drive
Chipped Pot
Choice Band
Choice Scarf
Choice Specs
Chople Berry
Claw Fossil
Clover Sweet
Coba Berry
Colbur Berry
Cornn Berry
Cover Fossil
Cracked Pot
Custap Berry
Damp Rock
Dark Gem
Dark Memory
Darkinium Z
Dawn Stone
Decidium Z
Deep Sea Scale
Deep Sea Tooth
Destiny Knot
Diancite
Dive Ball
Dome Fossil
Douse Drive
Draco Plate
Dragon Fang
Dragon Gem
Dragon Memory
Dragon Scale
Dragonium Z
Dread Plate
Dream Ball
Dubious Disc
Durin Berry
Dusk Ball
Dusk Stone
Earth Plate
Eevium Z
Eject Button
Eject Pack
Electirizer
Electric Gem
Electric Memory
Electric Seed
Electrium Z
Energy Powder
Enigma Berry
Eviolite
Expert Belt
Fairium Z
Fairy Gem
Fairy Memory
Fast Ball
Fighting Gem
Fighting Memory
Fightinium Z
Figy Berry
Fire Gem
Fire Memory
Fire Stone
Firium Z
Fist Plate
Flame Orb
Flame Plate
Float Stone
Flower Sweet
Flying Gem
Flying Memory
Flyinium Z
Focus Band
Focus Sash
Fossilized Bird
Fossilized Dino
Fossilized Drake
Fossilized Fish
Friend Ball
Full Incense
Galarica Cuff
Galarica Wreath
Galladite
Ganlon Berry
Garchompite
Gardevoirite
Gengarite
Ghost Gem
Ghost Memory
Ghostium Z
Glalitite
Gold Bottle Cap
Grass Gem
Grass Memory
Grassium Z
Grassy Seed
Great Ball
Grepa Berry
Grip Claw
Griseous Orb
Ground Gem
Ground Memory
Groundium Z
Gyaradosite
Haban Berry
Hard Stone
Heal Ball
Heat Rock
Heavy Ball
Heavy-Duty Boots
Helix Fossil
Heracronite
Hondew Berry
Houndoominite
Iapapa Berry
Ice Gem
Ice Memory
Ice Stone
Icicle Plate
Icium Z
Icy Rock
Incinium Z
Insect Plate
Iron Ball
Iron Plate
Jaboca Berry
Jaw Fossil
Kasib Berry
Kebia Berry
Kee Berry
Kelpsy Berry
Kangaskhanite
King's Rock
Kommonium Z
Lagging Tail
Lansat Berry
Latiasite
Latiosite
Lax Incense
Leaf Stone
Leek
Leftovers
Leppa Berry
Level Ball
Liechi Berry
Life Orb
Light Ball
Light Clay
Lopunnite
Love Ball
Love Sweet
Lucarionite
Lucky Punch
Lum Berry
Luminous Moss
Lunalium Z
Lure Ball
Lustrous Orb
Luxury Ball
Lycanium Z
Macho Brace
Magmarizer
Magnet
Mago Berry
Magost Berry
Mail
Manectite
Maranga Berry
Marshadium Z
Master Ball
Mawilite
Meadow Plate
Medichamite
Mental Herb
Metagrossite
Metal Coat
Metal Powder
Metronome
Mewnium Z
Mewtwonite X
Mewtwonite Y
Micle Berry
Mimikium Z
Mind Plate
Miracle Seed
Misty Seed
Moon Ball
Moon Stone
Muscle Band
Mystic Water
Nanab Berry
Nest Ball
Net Ball
