name,type1,type2,hp,atk,def,spa,spd,spe,ability1,ability2,ability3,moveset
Bulbasaur,Grass,Poison,45,49,49,65,65,45,Overgrow,Chlorophyll,NULL,"amnesia, attract, bide, bind, block, bodyslam, bulletseed, captivate, celebrate, charm, confide, curse, cut, defensecurl, doubleedge, doubleteam, echoedvoice, endure, energyball, facade, falseswipe, flash, frenzyplant, frustration, furycutter, gigadrain, grassknot, grasspledge, grasswhistle, grassyglide, grassyterrain, growl, growth, headbutt, helpinghand, hiddenpower, ingrain, knockoff, leafstorm, leechseed, lightscreen, magicalleaf, megadrain, mimic, mudslap, naturalgift, naturepower, outrage, petaldance, poisonpowder, powerwhip, protect, rage, razorleaf, razorwind, reflect, rest, return, rocksmash, round, safeguard, secretpower, seedbomb, skullbash, sleeppowder, sleeptalk, sludge, sludgebomb, snore, solarbeam, strength, stringshot, substitute, sunnyday, swagger, sweetscent, swordsdance, synthesis, tackle, takedown, toxic, venoshock, vinewhip, weatherball, workup, worryseed"
Ivysaur,Grass,Poison,60,62,63,80,80,60,Overgrow,Chlorophyll,NULL,"amnesia, attract, bide, bind, bodyslam, bulletseed, captivate, charm, confide, curse, cut, defensecurl, doubleedge, doubleteam, echoedvoice, endure, energyball, facade, falseswipe, flash, frustration, furycutter, gigadrain, grassknot, grasspledge, grassyglide, grassyterrain, growl, growth, headbutt, helpinghand, hiddenpower, knockoff, leafstorm, leechseed, lightscreen, magicalleaf, megadrain, mimic, mudslap, naturalgift, naturepower, outrage, poisonpowder, powerwhip, protect, rage, razorleaf, reflect, rest, return, rocksmash, round, safeguard, secretpower, seedbomb, sleeppowder, sleeptalk, sludgebomb, snore, solarbeam, strength, stringshot, substitute, sunnyday, swagger, sweetscent, swordsdance, synthesis, tackle, takedown, toxic, venoshock, vinewhip, weatherball, workup, worryseed"
Venusaur,Grass,Poison,80,82,83,100,100,80,Overgrow,Chlorophyll,NULL,"amnesia, attract, bide, bind, block, bodyslam, bulldoze, bulletseed, captivate, charm, confide, curse, cut, defensecurl, doubleedge, doubleteam, earthpower, earthquake, echoedvoice, endure, energyball, facade, falseswipe, flash, frenzyplant, frustration, furycutter, gigadrain, gigaimpact, grassknot, grasspledge, grassyglide, grassyterrain, growl, growth, headbutt, helpinghand, hiddenpower, hyperbeam, knockoff, leafstorm, leechseed, lightscreen, magicalleaf, megadrain, mimic, mudslap, naturalgift, naturepower, outrage, petalblizzard, petaldance, poisonpowder, powerwhip, protect, rage, razorleaf, reflect, rest, return, roar, rockclimb, rocksmash, round, safeguard, secretpower, seedbomb, sleeppowder, sleeptalk, sludgebomb, snore, solarbeam, stompingtantrum, strength, stringshot, substitute, sunnyday, swagger, sweetscent, swordsdance, synthesis, tackle, takedown, terrainpulse, toxic, venoshock, vinewhip, weatherball, workup, worryseed"
Charmander,Fire,NULL,39,52,43,60,50,65,Blaze,Solar Power,NULL,"acrobatics, aerialace, aircutter, ancientpower, attract, beatup, bellydrum, bide, bite, blastburn, block, bodyslam, brickbreak, captivate, celebrate, confide, counter, crunch, curse, cut, defensecurl, dig, doubleedge, doubleteam, dragonbreath, dragonclaw, dragondance, dragonpulse, dragonrage, dragonrush, dragontail, dynamicpunch, echoedvoice, ember, endure, facade, falseswipe, fireblast, firefang, firepledge, firepunch, firespin, flameburst, flamecharge, flamethrower, flareblitz, fling, focuspunch, frustration, furycutter, furyswipes, growl, headbutt, heatwave, helpinghand, hiddenpower, honeclaws, howl, incinerate, inferno, irontail, leer, megakick, megapunch, metalclaw, mimic, mudslap, naturalgift, outrage, overheat, poweruppunch, protect, quickattack, rage, reflect, rest, return, rockslide, rocksmash, rocktomb, round, scaryface, scratch, secretpower, seismictoss, shadowclaw, skullbash, slash, sleeptalk, smokescreen, snore, strength, submission, substitute, sunnyday, swagger, swift, swordsdance, takedown, thunderpunch, toxic, weatherball, willowisp, wingattack, workup"
Charmeleon,Fire,NULL,58,64,58,80,65,80,Blaze,Solar Power,NULL,"acrobatics, aerialace, attract, beatup, bide, bodyslam, brickbreak, captivate, confide, counter, crunch, curse, cut, defensecurl, dig, doubleedge, doubleteam, dragonbreath, dragonclaw, dragondance, dragonpulse, dragonrage, dynamicpunch, echoedvoice, ember, endure, facade, falseswipe, fireblast, firefang, firepledge, firepunch, firespin, flameburst, flamecharge, flamethrower, flareblitz, fling, focuspunch, frustration, furycutter, furyswipes, growl, headbutt, heatwave, helpinghand, hiddenpower, honeclaws, incinerate, inferno, irontail, leer, megakick, megapunch, metalclaw, mimic, mudslap, naturalgift, outrage, overheat, poweruppunch, protect, rage, reflect, rest, return, rockslide, rocksmash, rocktomb, round, scaryface, scratch, secretpower, seismictoss, shadowclaw, skullbash, slash, sleeptalk, smokescreen, snore, strength, submission, substitute, sunnyday, swagger, swift, swordsdance, takedown, thunderpunch, toxic, weatherball, willowisp, workup"
Charizard,Fire,Flying,78,84,78,109,85,100,Blaze,Solar Power,NULL,"acrobatics, aerialace, aircutter, airslash, attract, beatup, bide, blastburn, blazekick, bodyslam, breakingswipe, brickbreak, brutalswing, bulldoze, captivate, confide, counter, crunch, curse, cut, defensecurl, defog, dig, doubleedge, doubleteam, dragonbreath, dragonclaw, dragondance, dragonpulse, dragonrage, dragontail, dualwingbeat, dynamicpunch, earthquake, echoedvoice, ember, endure, facade, falseswipe, fireblast, firefang, firepledge, firepunch, firespin, fissure, flameburst, flamecharge, flamethrower, flareblitz, fling, fly, focusblast, focuspunch, frustration, furycutter, furyswipes, gigaimpact, growl, headbutt, heatcrash, heatwave, helpinghand, hiddenpower, holdhands, honeclaws, hurricane, hyperbeam, incinerate, inferno, irontail, leer, megakick, megapunch, metalclaw, mimic, mudslap, mysticalfire, naturalgift, ominouswind, outrage, overheat, poweruppunch, protect, rage, reflect, rest, return, roar, rockslide, rocksmash, rocktomb, roost, round, sandstorm, scaleshot, scaryface, scorchingsands, scratch, secretpower, seismictoss, shadowclaw, skullbash, skydrop, slash, sleeptalk, smokescreen, snore, solarbeam, steelwing, strength, submission, substitute, sunnyday, swagger, swift, swordsdance, tailwind, takedown, thunderpunch, toxic, twister, weatherball, willowisp, wingattack, workup"
Squirtle,Water,NULL,44,48,65,50,64,43,Torrent,Rain Dish,NULL,"aquajet, aquaring, aquatail, attract, aurasphere, bide, bite, blizzard, block, bodyslam, brickbreak, brine, bubble, bubblebeam, captivate, celebrate, confide, confusion, counter, curse, defensecurl, dig, dive, doubleedge, doubleteam, dragonpulse, dynamicpunch, endure, facade, fakeout, falseswipe, flail, fling, flipturn, focuspunch, followme, foresight, frustration, gyroball, hail, haze, headbutt, helpinghand, hiddenpower, hydrocannon, hydropump, icebeam, icepunch, icywind, irondefense, irontail, lifedew, megakick, megapunch, mimic, mirrorcoat, mist, muddywater, mudslap, mudsport, naturalgift, outrage, poweruppunch, protect, rage, raindance, rapidspin, reflect, refresh, rest, return, rockslide, rocksmash, rocktomb, rollout, round, scald, secretpower, seismictoss, shellsmash, skullbash, sleeptalk, snore, strength, submission, substitute, surf, swagger, tackle, tailwhip, takedown, toxic, waterfall, watergun, waterpledge, waterpulse, waterspout, weatherball, whirlpool, withdraw, workup, yawn, zenheadbutt"
Wartortle,Water,NULL,59,63,80,65,80,58,Torrent,Rain Dish,NULL,"aquatail, attract, aurasphere, bide, bite, blizzard, bodyslam, brickbreak, brine, bubble, bubblebeam, captivate, confide, counter, curse, defensecurl, dig, dive, doubleedge, doubleteam, dragonpulse, dynamicpunch, endure, facade, falseswipe, fling, flipturn, focuspunch, frustration, gyroball, hail, headbutt, helpinghand, hiddenpower, hydropump, icebeam, icepunch, icywind, irondefense, irontail, megakick, megapunch, mimic, muddywater, mudslap, naturalgift, outrage, poweruppunch, protect, rage, raindance, rapidspin, reflect, rest, return, rockslide, rocksmash, rocktomb, rollout, round, scald, secretpower, seismictoss, shellsmash, skullbash, sleeptalk, snore, strength, submission, substitute, surf, swagger, tackle, tailwhip, takedown, toxic, waterfall, watergun, waterpledge, waterpulse, weatherball, whirlpool, withdraw, workup, zenheadbutt"
Blastoise,Water,NULL,79,83,100,85,105,78,Torrent,Rain Dish,NULL,"aquajet, aquatail, attract, aurasphere, avalanche, bide, bite, blizzard, bodypress, bodyslam, brickbreak, brine, bubble, bubblebeam, bulldoze, captivate, confide, counter, crunch, curse, darkpulse, defensecurl, dig, dive, doubleedge, doubleteam, dragonpulse, dragontail, dynamicpunch, earthquake, endure, facade, fakeout, falseswipe, fissure, flashcannon, fling, flipturn, focusblast, focuspunch, frustration, gigaimpact, gyroball, hail, headbutt, helpinghand, hiddenpower, hydrocannon, hydropump, hyperbeam, icebeam, icepunch, icywind, irondefense, irontail, liquidation, megakick, megapunch, mimic, muddywater, mudslap, naturalgift, outrage, poweruppunch, protect, rage, raindance, rapidspin, reflect, rest, return, roar, rockclimb, rockslide, rocksmash, rocktomb, rollout, round, scald, secretpower, seismictoss, shellsmash, signalbeam, skullbash, sleeptalk, smackdown, snore, strength, submission, substitute, surf, swagger, tackle, tailwhip, takedown, terrainpulse, toxic, waterfall, watergun, waterpledge, waterpulse, weatherball, whirlpool, withdraw, workup, zenheadbutt"
Caterpie,Bug,NULL,45,30,35,20,20,45,Shield Dust,Run Away,NULL,"bugbite, electroweb, snore, stringshot, tackle"
